0 70.1666666666667	0 94.9462365591398	0 80.8461538461538	0 128.630555555556	0 125.143939393939	1 205.575	0 101.376811594203	0 85.875	0 99.6916666666667	0 229.958333333333	0 191.208333333333	0 230.598214285714	0 219	0 300	0 219.712121212121	0 134.977777777778	0 273.409090909091	0 213.268518518519	0 254.666666666667	0 273.59375	0 300	0 155.734375	0 176.847826086957	0 251.871212121212	0 164	0 148.194444444444	0 265.5	0 300	0 222.25	0 274.561594202899	0 224.980769230769	0 274.666666666667	0 439.279761904762	0 249.083333333333	0 89.6666666666667	0 94.7142857142857	0 156.340909090909	0 127.566666666667	0 184.166666666667	0 468.3125	0 128.541666666667	0 300	0 125.833333333333	0 196.416666666667	0 153.409722222222	0 199.47619047619	0 239.961805555556	0 290.962121212121	0 300
0 255.5	0 318.395161290323	0 289.384615384615	0 480.588709677419	0 475.090909090909	0 871.120967741935	0 420.282608695652	0 275	0 356.2	0 960.25	0 719.722222222222	0 1007.00892857143	0 943.125	0 300	0 790.340909090909	0 547.983333333333	0 1223.54545454545	0 917.333333333333	0 1048.42647058824	0 973.375	0 300	0 493.75	0 661.130434782609	0 872.477272727273	0 695.3	0 635	0 811.75	0 300	0 754.5	0 755.416666666667	0 511.153846153846	0 500.365384615385	0 967.428571428571	0 723.666666666667	0 336	0 321.821428571429	0 424.454545454545	0 239.766666666667	0 275.428571428571	0 1311.71875	0 317	0 300	0 414.7	0 731.161764705882	0 559.375	0 629.904761904762	0 730.166666666667	0 1018.27272727273	0 300
0 184	0 264.951612903226	0 225.615384615385	0 431.379032258065	0 451.939393939394	0 797.274193548387	0 392.04347826087	0 241	0 298.7	0 896.53125	0 707.222222222222	1 975.803571428571	0 958.333333333333	0 300	0 712.636363636364	0 532.983333333333	0 1193.27272727273	0 930.555555555556	0 956.194444444444	0 991.75	0 300	0 483.0625	0 855.130434782609	0 954.795454545455	0 740.825	0 685.958333333333	0 681.25	0 300	0 644.25	0 776.25	0 490.482142857143	0 534.692307692308	0 1067	0 783.666666666667	0 325	0 290.107142857143	0 464.181818181818	0 281.866666666667	0 350.428571428571	0 1409.6875	0 308.076923076923	0 300	0 370.3	0 665.111111111111	0 556.854166666667	0 586.27380952381	0 664.791666666667	0 986.909090909091	0 300
0 77.5	0 118.209677419355	0 133.538461538462	0 232.766129032258	0 229.636363636364	0 359.47311827957	0 167.771739130435	0 81.5	0 112.2	0 387.375	0 348.652777777778	0 437.910714285714	0 386.333333333333	0 300	0 305.727272727273	0 231.15	0 528.454545454545	0 454.888888888889	0 550.941176470588	0 437.0625	0 300	0 231.1875	0 620.032608695652	0 565.318181818182	0 411.375	0 340.375	0 440.75	0 300	0 342	0 474.166666666667	0 409.076923076923	0 468.461538461538	0 779.053571428571	0 508	0 160.666666666667	0 149.392857142857	0 266	0 241.733333333333	0 367.285714285714	0 912.5	0 159.846153846154	0 300	0 183.9	0 335.111111111111	0 344.166666666667	0 317.761904761905	0 363.125	0 514.636363636364	0 300
0 51.5	0 72.9435483870968	0 78.9038461538462	0 157.717741935484	0 170.272727272727	0 231.548387096774	0 105.75	0 48.5	0 65	0 209.555555555556	0 232.777777777778	0 285.142857142857	0 276.5	0 300	0 185.181818181818	0 153.15	0 342.022727272727	0 322.222222222222	0 384.382352941176	0 298.625	0 300	0 167.125	0 488.347826086957	0 406.090909090909	0 297.8	0 236	0 245	0 300	0 196.25	0 302.916666666667	0 319.211538461538	0 375.942307692308	0 575.5	0 346.666666666667	0 110.833333333333	0 89.9642857142857	0 199.166666666667	0 206.65	0 310.5	0 722.5	0 105.615384615385	0 300	0 107.15	0 216.222222222222	0 250.75	0 210.214285714286	0 247.708333333333	0 327.545454545455	0 300
0 42	0 65.5725806451613	0 64.8461538461538	0 134.677419354839	0 157.691176470588	0 203.056451612903	0 99.7282608695652	0 44.5	0 51.4	0 196.25	0 199.722222222222	0 241.646551724138	0 246.125	0 300	0 155.727272727273	0 118.533333333333	0 264.090909090909	0 277.333333333333	0 340.117647058824	0 271.625	0 300	0 137.96875	0 525.923913043478	0 341.704545454545	0 269.65	0 208.583333333333	0 275.75	0 300	0 171.5	0 260.71875	0 263.461538461538	0 327.403846153846	0 521.428571428571	0 284.666666666667	0 90.3333333333333	0 88.9642857142857	0 163.833333333333	0 173.533333333333	0 276.285714285714	0 621.25	0 88.2307692307692	0 300	0 83.5	0 181.941176470588	0 219.520833333333	0 161.571428571429	0 210.041666666667	0 265.545454545455	0 300
0 53.875	0 77.0134408602151	0 68.1730769230769	0 127.701612903226	0 131.199494949495	0 238.521505376344	0 101.797101449275	0 50.75	0 67.0083333333333	0 213.0625	0 191.509259259259	0 242.675	0 265.291666666667	0 300	0 156.795454545455	1 124.316666666667	0 257.712121212121	0 247.611111111111	0 317.75	0 295.21875	0 300	0 151.558823529412	0 243.532608695652	0 258.113636363636	0 210.266666666667	0 165.458333333333	0 187.25	0 300	0 226.3125	0 279.385416666667	0 253.634615384615	0 262.564102564103	0 463.053571428571	0 255.666666666667	0 90.4166666666667	0 104.571428571429	0 121.930555555556	0 106.483333333333	0 167.178571428571	0 591.5625	0 111.692307692308	0 300	0 90.1166666666667	0 179.5	0 204.020833333333	0 183.464285714286	0 262.46875	0 313.090909090909	0 300
0 53.875	0 79.739247311828	0 81.0192307692308	0 137.60752688172	0 135.152380952381	0 246.639784946237	0 98.5520833333333	0 63.875	0 75.9083333333333	0 231.09375	0 192.763888888889	0 251.086111111111	0 309.75	0 300	0 210.825	0 136.95	0 260.212121212121	0 208.888888888889	0 309.546875	0 266.90625	0 300	0 163.470588235294	0 297.130434782609	0 227.909090909091	0 185.775	0 134.75	0 175.75	0 300	0 231.8125	0 268.916666666667	0 216.461538461538	0 215.25641025641	0 391.642857142857	0 237.333333333333	0 87.0972222222222	0 112.071428571429	0 98.7291666666667	0 90.7666666666667	0 125.071428571429	0 501.46875	0 149.791666666667	0 300	0 115.533333333333	0 193.705882352941	0 186.583333333333	0 187.52380952381	0 255.708333333333	0 315.5	0 300
0 59.625	0 77.7822580645161	0 90.8076923076923	0 115.967741935484	0 88.9040404040404	0 181.172043010753	0 76.768115942029	0 68.5	0 73.675	0 180.861111111111	0 149.439814814815	0 181.991379310345	0 173.222222222222	0 300	0 227.659090909091	0 116.366666666667	0 259.477272727273	0 169.5	0 224.941176470588	0 191.53125	0 300	0 139.676470588235	0 204.949275362319	0 169.045454545455	0 130.675	0 97.375	0 121	0 300	0 165.875	0 201.03	0 176.5	0 179.108974358974	0 303.428571428571	0 217	0 78.625	0 86.2619047619048	0 93.5	0 86.5166666666667	0 122.535714285714	0 397.65625	0 117.628205128205	0 300	0 86.8333333333333	0 144.460784313725	0 178.770833333333	0 145.25	0 197.041666666667	0 276.5	0 300
0 41	0 62.2822580645161	0 94.6153846153846	0 97.6048387096774	0 99.0025252525253	0 143.477011494253	0 68.719696969697	0 51.875	0 67.7833333333333	0 149.34375	0 128.777777777778	0 148.307471264368	0 146.819444444444	0 300	0 165.590909090909	0 99.8666666666667	0 198.545454545455	0 149.861111111111	0 189.073529411765	0 164.714285714286	0 300	0 110.15625	0 215.427536231884	0 158.636363636364	0 124.166666666667	0 97.5	0 115	0 300	0 160.0625	0 190.311594202899	0 157.153846153846	0 183.153846153846	0 290.446428571429	0 207.25	0 84.5416666666667	0 70.5	0 105.875	0 102.116666666667	0 156.357142857143	0 361.8125	0 97.5	0 300	0 59.25	0 130.015625	0 186.590277777778	0 134.194444444444	0 174.364583333333	0 244.454545454545	0 300
