"","Direcciones","lat","lon"
"75","CALLE DE JATIVA NUM 51 MADRID",40.3977311,-3.6716438
"76","CALLE DEL ALTO DEL RETIRO NUM 33 MADRID",40.3697901,-3.5958322
"77","CALLE DE SAMARIA NUM 8 MADRID",40.4126854,-3.6723843
"78","AVENIDA DE SANTO DOMINGO DE LA CALZADA NUM 27 MADRID",40.5070825,-3.6691664
"79","CALLE DE BELZUNEGUI NUM 52 MADRID",40.3748495,-3.7390759
"80","CARRETERA DE VICALVARO A COSLADA KM. 3500 MADRID",40.4131214,-3.5809212
"81","CALLE DE SANDALIA NAVAS NUM 25 MADRID",40.4816664,-3.7284553
"82","CALLE DE ALFONSO RODRIGUEZ CASTELAO NUM 24 MADRID",40.4820466,-3.7335693
"83","PASEO DE LAS DELICIAS NUM 40 MADRID",40.40339,-3.69399
"84","CALLE DE CARAMUEL NUM 12 MADRID",40.4126103,-3.7268086
"85","CALLE DE LUCHANA NUM 40 MADRID",40.4320501,-3.6980137
"86","CALLE DE PIO FELIPE NUM 12 MADRID",40.3969079,-3.6502787
"87","PASEO DE LA CASTELLANA NUM 40 MADRID",40.4333573,-3.6875192
"88","CALLE DE ANA DE AUSTRIA NUM 34 MADRID",40.49658,-3.654524
"89","CALLE DEL PADRE CLARET NUM 13 MADRID",40.4468746,-3.664699
"90","AVENIDA DE ASTURIAS NUM 25 MADRID",40.4677812,-3.6938534
"91","CALLE DEL ESPINAR NUM 42 MADRID",40.3842974,-3.7431953
"92","AVENIDA DEL MEDITERRANEO KM. 4000 MADRID",40.405764,-3.6665421
"93","CALLE  30  18RN KM. 120 MADRID",40.4180779,-3.6980632
"94","CALLE DE AGUSTIN DE FOXA NUM 40 MADRID",40.4706745,-3.6848648
"95","PASEO DE LA CASTELLANA NUM 259 MADRID",40.4782572,-3.6875156
"96","CARRETERA DE CANILLAS NUM 47 MADRID",40.4637042,-3.6463297
"97","AVENIDA DE LA CIUDAD DE BARCELONA NUM 109 MADRID",40.3991458,-3.6705209
"98","CALLE DE ALCALA NUM 632 MADRID",40.4485067,-3.6089921
"99","PASEO DE LA CASTELLANA NUM 95 MADRID",40.451667,-3.691667
"100","PASEO DE LAS DELICIAS NUM 41 MADRID",40.4035457,-3.6934465
"101","PASEO DEL PRADO NUM 42 MADRID",40.410369,-3.6928987
"102","AVENIDA DE RAMON Y CAJAL NUM 81 MADRID",40.4526506,-3.6661885
"103","CALLE DE ALCALA NUM 489 MADRID",40.4401367,-3.6310638
"104","CALLE DE MAGALLANES NUM 3 MADRID",40.4327042,-3.7055586
"105","CALLE DE LA ADUANA NUM 14 MADRID",40.4184124,-3.7001717
"106","AVENIDA DE LA ALBUFERA NUM 43 MADRID",40.396702,-3.6653744
"107","CALLE DE EMBAJADORES NUM 247 MADRID",40.3840858,-3.6870942
"108","CALLE DE BRAVO MURILLO NUM 187 MADRID",40.4539178,-3.703155
"109","AVENIDA DE NUESTRA SEÑORA DE FATIMA NUM 55 MADRID",40.3835253,-3.7470761
"110","AVENIDA DEL MARQUES DE CORBERA NUM 25 MADRID",40.4242303,-3.6543152
"111","CALLE DE MATEO INURRIA NUM 15 MADRID",40.4672885,-3.6854187
"112","AVENIDA DEL EURO NUM 19 MADRID",40.3650399,-3.7447935
"113","AVENIDA DE PABLO NERUDA NUM 64 MADRID",40.38733,-3.64593
