"","lon","lat"
"1",-3.7078436,40.3844711
"2",-3.7075738,40.4233772
"3",-3.71095,40.423173
"4",-3.6853912,40.4778692
"5",-3.701869,40.4572682
"6",-3.7325326,40.3755646
"7",-3.7244988,40.3869449
"8",-3.7060098,40.4282451
"9",-3.6921958,40.4063251
"10",-3.6748652,40.3672034
"11",-3.5809212,40.4131214
"12",-3.7129657,40.4257365
"13",-3.6754493,40.4017798
"14",-3.6755048,40.3491396
"15",-3.7131387,40.4772231
"16",-3.6882999,40.4839856
"17",-3.6158008,40.4583935
"18",-3.6841878,40.4060962
"19",-3.6324353,40.4205922
"20",-3.7190987,40.4422376
"21",-3.7126159,40.3756263
"22",-3.7114384,40.4216724
"23",-3.7068803,40.4298542
"24",-3.6998754,40.40264
"25",-3.678708,40.5103318
"26",-3.7165815,40.4348759
"27",-3.7007992,40.4392299
"28",-3.668696,40.4067088
"29",-3.6969317,40.4632292
"30",-3.7387599,40.4070799
"31",-3.7685488,40.3832911
"32",-3.6665421,40.405764
"33",-3.6877558,40.4242397
"34",-3.694557,40.4876812
"35",-3.6398731,40.4728178
"36",-3.6777739,40.3945195
"37",-3.6907318,40.4424123
"38",-3.707578,40.4363505
"39",-3.6835986,40.4438315
"40",-3.6982746,40.4405843
"41",-3.6677791,40.4960801
"42",-3.7148336,40.3958435
"43",-3.6493775,40.4732039
"44",-3.6454114,40.4273597
"45",-3.7097928,40.472745
"46",-3.6978321,40.4568406
"47",-3.7183591,40.410436
"48",-3.6050151,40.4609216
"49",-3.67596,40.40168
"50",-3.727563,40.3803597
"51",-3.6892563,40.4603424
"52",-3.6940456,40.345128
"53",-3.6929512,40.4106201
"54",-3.6949924,40.395026
"55",-3.6748806,40.3917495
"56",-3.7159636,40.4219512
"57",-3.6905607,40.4391067
"58",-3.6378947,40.4380987
"59",-3.6625249,40.3949359
"60",-3.6461906,40.4341789
"61",-3.6534442,40.4236237
"62",-3.668696,40.4067088
"63",-3.7149668,40.3972617
"64",-3.670286,40.3986147
"65",-3.6874505,40.4462218
"66",-3.6499248,40.4288908
"67",-3.7162515,40.3668054
"68",-3.6806664,40.4219046
"69",-3.7114191,40.4295293
"70",-3.6949425,40.4160397
"71",-3.6305112,40.4721205
"72",-3.7062081,40.4274233
"73",-3.7363814,40.4464996
"74",-3.6405633,40.4398063
"75",-3.7318885,40.4125497
"76",-3.6940456,40.345128
"77",-3.6896598,40.45534
"78",-3.6602585,40.4078853
"79",-3.6912415,40.4536539
"80",-3.6953788,40.4651602
"81",-3.7019092,40.4188428
"82",-3.6768784,40.4374278
"83",-3.677064,40.414327
"84",-3.7022557,40.4249066
"85",-3.6263019,40.4977335
"86",-3.6576514,40.3942909
"87",-3.7017959,40.4310223
"88",-3.7040207,40.4807704
