0 0.145330623836966	0 0.161577599718502	0 0.147878533347333	0 0.263905827819064	0 0.278307647895061	0 0.533458980068596	0 0.297928460517656	0 0.200474807218936	0 0.263059054479276	0 0.460207083819971	0 0.45708010288509	0 0.526274836857176	22 0.64336544823368	0 0.687882587018462	0 0.541404068930055	0 0.333118136835807	0 0.759521271201879	0 0.620723738982235	2 0.661430923930763	1 0.765411649095592	0 0.499027831247059	0 0.363199491620553	0 0.422130255058194	0 0.498235053212424	0 0.541165690432481	0 0.481332503985008	0 0.585940657450923	0 0.505816410866633	0 0.494694529089036	0 0.449779131712973	2 0.264104052708474	0 0.341384777758792	0 0.558692588574295	0 0.681406494865005	0 0.490161839175768	0 0.242494526878692	0 0.267682566615463	0 0.164377792554743	0 0.231386819179491	1 0.838851946476277	0 0.343757799907831	0 0.226262555559444	0 0.207589332586708	2 0.325852217016953	0 0.292409125831413	0 0.374933041877141	0 0.430736962244854	0 0.499906745635319	0 0.374885139937993
0 0.153441671819161	0 0.170252262141842	0 0.150442591042108	0 0.270674358791128	0 0.285000658297127	0 0.545594471470736	0 0.306197381366247	0 0.197354145521996	0 0.265283288207027	0 0.469063993147044	0 0.466146730350883	0 0.54758100373445	0 0.66212566642168	0 0.694364078494201	0 0.553640176799922	0 0.346586776050671	0 0.773949227664273	0 0.633911384873832	0 0.683874360594378	0 0.761685529170896	0 0.510940637581172	1 0.374510026948518	0 0.434450306622025	0 0.510610096269267	0 0.561785124545423	0 0.50086620235887	0 0.603678861680268	0 0.509971759245549	0 0.507495018808448	0 0.460306957422897	0 0.270517106853241	1 0.352122324448626	0 0.584590347530886	3 0.71280657341624	0 0.490815346293078	0 0.242822961810271	0 0.272178155201464	0 0.166128668478789	0 0.237237500324579	0 0.853730794806286	0 0.35969721061112	0 0.226262555559444	2 0.209550974696392	1 0.330930965463566	0 0.315711594195653	0 0.384017837352279	0 0.434867123974848	0 0.507739662178005	0 0.373599141702379
0 0.137763593215139	0 0.172336975032995	0 0.158278121626387	0 0.282454243777654	1 0.296471274341505	0 0.566320440917416	0 0.317368280855664	0 0.19992067102976	0 0.266683211211262	0 0.485991603795125	0 0.490504170919248	0 0.579282825768297	0 0.681700006499642	0 0.712410561605158	0 0.56609117267781	0 0.353488139754687	0 0.805729723326756	1 0.656989964036826	0 0.717435519116624	0 0.783552763972981	0 0.521310836451004	0 0.386470457087823	0 0.449911921510984	0 0.539093770895232	0 0.586160488445863	0 0.519073155521901	1 0.623603009526784	0 0.523415058325638	0 0.524387242035021	0 0.475252124291059	0 0.293655809714779	6 0.373988915903743	4 0.610337964745272	23 0.735331528988128	7 0.519380682767111	0 0.255369884096764	0 0.290237995243595	0 0.18752396395976	0 0.259384459344932	1 0.908754185186481	1 0.362530642904192	0 0.226262555559444	0 0.219639169845658	0 0.353001001611578	0 0.328431936243507	0 0.410950192878281	3 0.460721271441182	0 0.5448092941639	0 0.386474993875337
0 0.0824481736837807	0 0.111030391966044	0 0.117900438552803	0 0.20412848252942	0 0.199526901607266	0 0.397038488403971	1 0.204094385919886	0 0.109567307131441	0 0.162390273080435	0 0.358827556151078	0 0.3748843119184	0 0.425891841435447	0 0.505319707416092	0 0.446586456263424	0 0.456758532126887	0 0.260499630853636	0 0.628632732891999	0 0.514811079330031	0 0.608798423981418	0 0.560351446295454	2 0.364182909530051	0 0.276185365360461	2 0.36830005599692	0 0.426701136700639	0 0.474936075485545	0 0.386705663006716	0 0.478664501267	0 0.345626631560905	0 0.480202279861732	0 0.425831052051364	3 0.273374768309312	0 0.337167338149343	0 0.537227569150363	0 0.55783801335371	0 0.380908477117092	0 0.236302342354221	0 0.24057697659962	2 0.175978876717336	0 0.231380001372652	0 0.761301753403563	0 0.228174942870635	0 0.226262555559444	0 0.169615671138087	0 0.297071994373643	0 0.271664641778036	0 0.346862641304728	0 0.370223540483051	0 0.409240119998528	0 0.247443682264142
0 0.0573692914974783	0 0.0898638769312132	0 0.097941440143869	2 0.167259694522111	5 0.152696352885425	0 0.313469572576925	0 0.154434141727212	0 0.0821988123986514	0 0.1305770228092	0 0.300100369479679	0 0.31053208740186	0 0.351013284475539	0 0.389792311422872	0 0.358667598863458	0 0.372109038795198	0 0.212891415972122	0 0.512821410207054	1 0.41363535611602	0 0.49016062888471	0 0.440500119751899	0 0.303581947339768	0 0.219451055191964	10 0.299315204330428	0 0.340494891202037	0 0.371940128198609	0 0.312994944368969	0 0.362567669397652	0 0.270648191272557	0 0.404559784610077	1 0.364499596000481	0 0.232869986268402	2 0.298173134791312	0 0.437097889146298	0 0.468679696154316	1 0.316022082453285	0 0.185289615834414	0 0.206442187346363	0 0.156640690317588	0 0.248454135022574	0 0.609069424910443	0 0.246017071470708	0 0.226262555559444	0 0.134086375249361	3 0.243708818237219	0 0.223948932808696	0 0.28045197097493	2 0.310424273887158	0 0.383744277451322	0 0.233207243046077
0 0.137546809925454	0 0.166355140011535	0 0.150183492319498	0 0.259776995451091	0 0.268231835484342	0 0.517948270657614	0 0.288459732767549	0 0.198380755725102	0 0.256201287717054	0 0.480918757801654	0 0.459274878770557	0 0.524684352623434	0 0.621229165729218	0 0.655166234375628	0 0.533229999273117	0 0.324258619781847	0 0.735157899648853	0 0.60672477407682	1 0.641874367962394	0 0.696642700276485	0 0.490124332266364	0 0.350551090060417	0 0.409761595056716	0 0.469347212219117	0 0.503534010174895	0 0.457381889450626	0 0.554670431316123	1 0.479359436513043	0 0.50458283746359	2 0.450400819259289	0 0.250929850818989	0 0.32203530276423	0 0.534132689368751	0 0.664445455499947	0 0.465421901795401	2 0.242858860988065	0 0.258010392761731	0 0.152131382773947	0 0.23296358560419	0 0.806076540790256	4 0.340321820761397	1 0.226262555559444	0 0.208182549959752	0 0.3197850507111	0 0.280710185939773	0 0.369270158891261	0 0.414130181173369	0 0.478907418053791	0 0.352206932966513
0 0.135305474865549	0 0.168696784668969	0 0.149842239446061	1 0.264910979066011	0 0.283025027447718	4 0.542757166585005	0 0.301105355872094	0 0.197228735752867	0 0.264114299471105	0 0.485233312167831	0 0.468699082661565	1 0.541934021558989	22 0.650974613062948	0 0.6821487781135	0 0.543481070079607	0 0.331039509589978	0 0.762854389162442	0 0.64315379320804	0 0.67134689171043	0 0.6855996480403	1 0.50590442952988	0 0.365558945183941	0 0.430274281188365	0 0.49858580146513	1 0.515662157099878	0 0.475506119890679	0 0.590615332121257	0 0.505942942368939	0 0.513629891948863	0 0.46379266213529	5 0.273358641745292	43 0.337938839834397	7 0.56620177556901	0 0.697430946853479	0 0.496141462219578	0 0.241412871436325	0 0.263541645560371	0 0.160540836920636	0 0.224778108902124	0 0.844423931683757	0 0.378175669986713	0 0.226262555559444	0 0.201963267020314	0 0.325484042822089	0 0.283782298950302	8 0.378322751276458	11 0.429099441197401	0 0.493083007016893	2 0.39617210961654
0 0.137278088003032	0 0.170034391563961	0 0.148595545193732	0 0.278372247665913	0 0.295960450423141	0 0.557222264002634	0 0.313755788124391	0 0.199007804570749	0 0.262389318587478	0 0.534288739119348	0 0.487444926640146	1 0.558073596114107	0 0.675406602636855	0 0.699218692504623	1 0.548220617096829	0 0.328967323463876	0 0.772132692958298	0 0.625402875569116	0 0.681135300716355	0 0.721437386161152	0 0.515197979619142	0 0.362869782727988	1 0.433984469984586	1 0.485021744856664	0 0.497950182184424	0 0.488831636987238	0 0.599581529742322	0 0.508485007601109	0 0.519193606513804	0 0.474970383478224	2 0.280589013387396	43 0.355355014297743	6 0.567376424112419	0 0.706389877370304	0 0.506894954399692	0 0.246973232392616	0 0.257469366962595	0 0.164959343902752	0 0.257017169788146	0 0.868217373044483	0 0.39006491006631	0 0.226262555559444	0 0.207539168679056	0 0.326360105749739	0 0.275427851468169	3 0.376339770062647	0 0.434948397282594	0 0.509273160862229	15 0.43617523716608
0 0.132912037664015	0 0.169462516831915	0 0.15203477911279	4 0.273967048929426	0 0.287186473152528	0 0.548105221666876	0 0.310539772680191	0 0.196470444125573	0 0.262049678176791	0 0.500669754830151	0 0.486842668097699	1 0.560225094388646	0 0.692309839625487	0 0.696835331464177	0 0.562045529803553	0 0.331102789346586	0 0.783186251679235	0 0.618190090454116	0 0.695023550020538	1 0.764215609650903	1 0.519987116520557	0 0.378499124273107	0 0.4408794864636	0 0.511501012181172	0 0.51787016297437	0 0.498618371444116	0 0.633821644234346	0 0.521966227754909	0 0.544050099666043	0 0.491647741618767	0 0.296132161805175	0 0.373596903150719	0 0.589928958589552	0 0.756256100358925	0 0.521419488018124	0 0.266737351778158	0 0.271009150052303	0 0.173677558845375	0 0.289036648996575	0 0.894256815875127	0 0.395719445621574	0 0.226262555559444	0 0.212719182797887	0 0.332461436843196	0 0.301110216715858	0 0.399704630828638	0 0.44484964438067	6 0.509406547857259	0 0.451814941844865
0 0.130329915187998	0 0.167281054443966	1 0.153444797715613	0 0.28570540521953	5 0.295170876450852	0 0.569864087162706	0 0.31959351415088	0 0.201921394323312	0 0.2659625690284	0 0.493065381404023	0 0.501763514117835	0 0.570607301446905	22 0.693177291915611	0 0.701942133923375	19 0.561906210543036	0 0.336633651815817	0 0.798224655336264	0 0.644600115175484	0 0.701908500295642	0 0.812177667042934	4 0.527204646906813	0 0.379605163382681	0 0.457760239853475	0 0.54638994855283	3 0.541169645391726	0 0.520009354030983	0 0.632724186953858	0 0.524558104432461	0 0.568290350365572	1 0.500985175364604	0 0.29834870656188	0 0.388743006389551	0 0.618859860871258	23 0.765215754359137	0 0.530606423232511	0 0.261702738702313	0 0.28244963193691	0 0.186506492142932	0 0.293858837763923	0 0.923646449445281	0 0.390595119832512	0 0.226262555559444	0 0.217714275714836	0 0.349047052412117	0 0.306786321196779	7 0.411786014963621	1 0.462293948832814	0 0.534463529034205	4 0.43239273355117
